chain_id,store_id,price
7290055700007,159,169.90
7290055700007,191,169.90
7290055700007,329,169.90
7290055700007,981,169.90
7290055700007,1040,169.90
7290055700007,1171,169.90
7290055700007,2070,169.90
7290055700007,2960,169.90
7290055700007,3300,169.90
7290055700007,3580,169.90
7290055700007,4280,169.90
7290055700014,9,169.90
7290055700014,15,169.90
7290055700014,2150,145.30
7290725900003,10,169.90
7290725900003,12,169.90
7290725900003,205,169.90
7290725900003,1252,145.30
7290725900003,1340,169.90
7290725900003,2230,169.90
7290725900003,2560,169.90
7290725900003,3680,169.90
