chain_id,store_id,price
7290058108879,5,499
7290058108879,9,499
7290058108879,10,499
7290058108879,13,499
7290058140886,5,299.00
7290058140886,7,299.00
7290058140886,14,299.00
7290058140886,20,299.00
7290058140886,22,299.00
7290058140886,43,299.00
7290058140886,49,299.00
7290058197699,44,499
7290058197699,301,499
7290058197699,650,499
7290058197699,702,499
7290639000004,1,499.00
7290639000004,2,499.00
7290639000004,3,499.00
7290639000004,4,499.00
7290639000004,6,499.00
7290639000004,7,499.00
7290639000004,8,499.00
7290639000004,9,499.00
7290639000004,10,499.00
7290803800003,5,279.00
7290873255550,14,499.00
7291059100008,4,499.00
7291059100008,8,499.00
